tGroup,round,epoch,target,outcome,probX,probY,probZ
1-2,0,71,2,2,0.19,0.18,0.70
1-2,0,72,2,2,0.10,0.14,0.80
1-2,0,73,0,2,0.11,0.18,0.70
1-2,0,74,2,2,0.14,0.15,0.78
1-2,0,75,1,2,0.18,0.22,0.63
1-2,0,76,0,2,0.22,0.23,0.65
1-2,0,77,2,2,0.12,0.17,0.60
1-2,0,78,2,2,0.13,0.14,0.75
1-2,0,79,1,2,0.20,0.24,0.57
1-2,0,80,2,2,0.12,0.16,0.72
1-2,0,81,2,2,0.12,0.15,0.75
1-2,0,82,2,2,0.20,0.19,0.64
1-2,0,83,2,2,0.11,0.15,0.76
1-2,0,84,0,2,0.12,0.19,0.65
1-2,0,85,1,2,0.20,0.25,0.55
1-2,0,86,1,2,0.19,0.29,0.50
1-2,0,87,1,2,0.12,0.22,0.54
1-2,0,88,2,2,0.11,0.21,0.64
1-2,0,89,2,2,0.12,0.20,0.68
1-2,0,90,1,2,0.18,0.35,0.45
1-2,0,91,2,2,0.11,0.22,0.67
1-2,0,92,0,2,0.22,0.34,0.53
1-2,0,93,0,2,0.14,0.28,0.46
1-2,0,94,1,2,0.22,0.36,0.36
1-2,0,95,2,2,0.16,0.26,0.57
1-2,0,96,2,2,0.14,0.21,0.63
1-2,0,97,2,2,0.12,0.20,0.64
1-2,0,98,0,2,0.26,0.32,0.50
1-2,0,99,2,2,0.25,0.24,0.49
1-2,0,100,1,2,0.23,0.34,0.41
1-2,0,101,1,1,0.22,0.39,0.37
1-2,0,102,2,2,0.23,0.31,0.47
1-2,0,103,2,2,0.22,0.28,0.52
1-2,0,104,2,2,0.12,0.20,0.70
1-2,0,105,1,2,0.19,0.38,0.44
1-2,0,106,2,2,0.20,0.29,0.55
1-2,0,107,0,2,0.13,0.29,0.52
1-2,0,108,1,2,0.12,0.24,0.51
1-2,0,109,0,2,0.14,0.32,0.43
1-2,0,110,2,2,0.23,0.28,0.47
1-2,0,111,2,2,0.22,0.26,0.52
1-2,0,112,2,2,0.21,0.25,0.56
1-2,0,113,2,2,0.20,0.23,0.60
1-2,0,114,1,2,0.19,0.36,0.46
1-2,0,115,0,2,0.24,0.33,0.54
1-2,0,116,1,1,0.21,0.39,0.38
1-2,0,117,0,2,0.15,0.30,0.43
1-2,0,118,1,1,0.23,0.42,0.32
1-2,0,119,1,1,0.22,0.47,0.29
1-2,0,120,2,2,0.22,0.34,0.44
1-2,0,121,1,1,0.20,0.49,0.31
1-2,0,122,0,2,0.14,0.37,0.37
1-2,0,123,2,2,0.13,0.33,0.38
1-2,0,124,0,2,0.28,0.39,0.42
1-2,0,125,1,2,0.15,0.27,0.40
1-2,0,126,2,2,0.26,0.32,0.43
1-2,0,127,2,2,0.14,0.22,0.61
1-2,0,128,2,2,0.24,0.28,0.51
1-2,0,129,2,2,0.13,0.20,0.67
1-2,0,130,0,2,0.16,0.28,0.47
1-2,0,131,2,2,0.15,0.18,0.68
1-2,0,132,0,2,0.31,0.32,0.48
1-2,0,133,2,2,0.17,0.23,0.45
1-2,0,134,2,2,0.17,0.15,0.71
1-2,0,135,0,2,0.20,0.23,0.47
1-2,0,136,0,2,0.39,0.28,0.46
1-2,0,137,2,2,0.35,0.19,0.51
1-2,0,138,2,2,0.24,0.15,0.67
1-2,0,139,2,2,0.18,0.13,0.70
1-2,0,140,1,2,0.29,0.33,0.38
1-2,0,141,2,2,0.16,0.15,0.70
1-2,0,142,2,2,0.16,0.15,0.71
1-2,0,143,2,2,0.28,0.20,0.60
1-2,0,144,2,2,0.26,0.19,0.64
1-2,0,145,2,2,0.14,0.13,0.77
1-2,0,146,2,2,0.14,0.13,0.78
1-2,0,147,1,2,0.24,0.34,0.46
1-2,0,148,2,2,0.13,0.15,0.76
1-2,0,149,1,2,0.13,0.21,0.57
1-2,0,150,1,1,0.22,0.42,0.38
1-2,0,151,2,2,0.12,0.28,0.50
1-2,0,152,0,2,0.16,0.28,0.50
1-2,0,153,2,2,0.17,0.19,0.71
1-2,0,154,1,1,0.23,0.43,0.37
1-2,0,155,2,2,0.13,0.27,0.49
1-2,0,156,2,2,0.16,0.20,0.74
1-2,0,157,2,2,0.13,0.25,0.55
1-2,0,158,2,2,0.22,0.23,0.66
1-2,0,159,1,2,0.12,0.23,0.60
1-2,0,160,1,1,0.20,0.46,0.40
1-2,0,161,1,2,0.11,0.30,0.51
1-2,0,162,1,1,0.19,0.56,0.32
1-2,0,163,0,2,0.14,0.39,0.41
1-2,0,164,2,2,0.12,0.24,0.67
1-2,0,165,2,2,0.11,0.23,0.69
1-2,0,166,2,2,0.21,0.31,0.56
1-2,0,167,2,2,0.20,0.29,0.60
1-2,0,168,2,2,0.11,0.19,0.76
1-2,0,169,1,1,0.19,0.49,0.38
1-2,0,170,0,2,0.26,0.40,0.50
1-2,0,171,1,1,0.21,0.51,0.31
1-2,0,172,2,2,0.11,0.21,0.71
1-2,0,173,1,1,0.20,0.55,0.30
1-2,0,174,2,2,0.20,0.33,0.56
1-2,0,175,2,2,0.19,0.30,0.60
1-2,0,176,2,2,0.10,0.20,0.76
1-2,0,177,1,2,0.11,0.30,0.52
1-2,0,178,2,2,0.13,0.24,0.73
1-2,0,179,2,2,0.13,0.23,0.75
1-2,0,180,1,2,0.10,0.32,0.50
1-2,0,181,2,2,0.09,0.23,0.74
1-2,0,182,1,1,0.17,0.58,0.31
1-2,0,183,0,2,0.24,0.46,0.46
1-2,0,184,2,2,0.20,0.31,0.56
1-2,0,185,1,1,0.19,0.57,0.29
1-2,0,186,2,2,0.10,0.35,0.46
1-2,0,187,0,2,0.26,0.41,0.48
1-2,0,188,2,2,0.11,0.19,0.73
1-2,0,189,2,2,0.12,0.29,0.49
1-2,0,190,2,2,0.15,0.19,0.76
1-2,0,191,1,2,0.12,0.28,0.51
1-2,0,192,2,2,0.20,0.28,0.61
1-2,0,193,1,1,0.19,0.54,0.33
1-2,0,194,1,1,0.18,0.58,0.30
1-2,0,195,2,2,0.19,0.32,0.60
1-2,0,196,2,2,0.10,0.20,0.77
1-2,0,197,2,2,0.13,0.22,0.77
1-2,0,198,2,2,0.09,0.19,0.79
1-2,0,199,2,2,0.17,0.27,0.67
1-2,0,200,2,2,0.09,0.17,0.81
1-2,0,201,2,2,0.17,0.24,0.70
1-2,0,202,0,2,0.13,0.28,0.56
1-2,0,203,2,2,0.13,0.17,0.80
1-2,0,204,2,2,0.18,0.22,0.70
1-2,0,205,2,2,0.10,0.24,0.59
1-2,0,206,2,2,0.17,0.20,0.74
1-2,0,207,0,2,0.24,0.28,0.62
1-2,0,208,0,2,0.28,0.28,0.57
1-2,0,209,0,2,0.33,0.27,0.52
1-2,0,210,2,2,0.26,0.16,0.64
1-2,0,211,1,1,0.24,0.42,0.33
1-2,0,212,2,2,0.13,0.12,0.78
1-2,0,213,2,2,0.13,0.12,0.79
1-2,0,214,1,1,0.23,0.46,0.32
1-2,0,215,2,2,0.12,0.14,0.78
1-2,0,216,1,1,0.21,0.50,0.30
1-2,0,217,2,2,0.21,0.23,0.63
1-2,0,218,2,2,0.12,0.26,0.53
1-2,0,219,1,1,0.20,0.52,0.33
1-2,0,220,0,2,0.30,0.36,0.49
1-2,0,221,1,1,0.22,0.54,0.27
1-2,0,222,2,2,0.12,0.16,0.77
1-2,0,223,1,1,0.21,0.57,0.26
1-2,0,224,2,2,0.15,0.19,0.75
1-2,0,225,2,2,0.21,0.26,0.63
1-2,0,226,0,2,0.30,0.37,0.47
1-2,0,227,2,2,0.23,0.22,0.62
1-2,0,228,0,2,0.34,0.34,0.46
1-2,0,229,0,2,0.22,0.25,0.41
1-2,0,230,0,2,0.25,0.25,0.38
1-2,0,231,2,2,0.20,0.11,0.75
1-2,0,232,0,0,0.47,0.30,0.38
1-2,0,233,2,2,0.36,0.17,0.55
1-2,0,234,2,2,0.25,0.11,0.74
1-2,0,235,0,0,0.47,0.27,0.40
1-2,0,236,2,2,0.36,0.15,0.58
1-2,0,237,1,2,0.20,0.20,0.44
1-2,0,238,2,2,0.19,0.11,0.76
1-2,0,239,2,2,0.32,0.17,0.60
1-2,0,240,1,2,0.17,0.23,0.44
1-2,0,241,1,1,0.28,0.52,0.22
1-2,0,242,2,2,0.16,0.26,0.43
1-2,0,243,2,2,0.27,0.20,0.62
1-2,0,244,1,2,0.14,0.27,0.45
1-2,0,245,2,2,0.13,0.14,0.77
1-2,0,246,2,2,0.25,0.22,0.63
1-2,0,247,1,1,0.23,0.56,0.26
1-2,0,248,2,2,0.16,0.16,0.78
1-2,0,249,2,2,0.16,0.16,0.79
1-2,0,250,2,2,0.21,0.22,0.67
1-2,0,251,1,2,0.12,0.30,0.48
1-2,0,252,2,2,0.12,0.30,0.49
1-2,0,253,2,2,0.14,0.16,0.81
1-2,0,254,2,2,0.20,0.22,0.70
1-2,0,255,2,2,0.19,0.21,0.72
1-2,0,256,2,2,0.10,0.13,0.85
1-2,0,257,2,2,0.13,0.14,0.84
1-2,0,258,2,2,0.18,0.19,0.75
1-2,0,259,1,1,0.18,0.54,0.34
1-2,0,260,0,2,0.15,0.28,0.51
1-2,0,261,2,2,0.10,0.13,0.83
1-2,0,262,1,1,0.19,0.57,0.28
1-2,0,263,2,2,0.11,0.28,0.53
1-2,0,264,2,2,0.11,0.26,0.57
1-2,0,265,0,2,0.31,0.32,0.54
1-2,0,266,0,2,0.20,0.25,0.47
1-2,0,267,2,2,0.24,0.18,0.69
1-2,0,268,0,2,0.38,0.29,0.48
1-2,0,269,2,2,0.15,0.10,0.83
1-2,0,270,2,2,0.14,0.10,0.82
1-2,0,271,1,1,0.26,0.51,0.26
1-2,0,272,2,2,0.24,0.18,0.67
1-2,0,273,2,2,0.12,0.11,0.83
1-2,0,274,2,2,0.23,0.17,0.71
1-2,0,275,2,2,0.22,0.16,0.73
1-2,0,276,1,1,0.22,0.52,0.30
1-2,0,277,2,2,0.15,0.12,0.84
1-2,0,278,2,2,0.20,0.18,0.73
1-2,0,279,0,2,0.34,0.30,0.51
1-2,0,280,2,2,0.13,0.10,0.85
1-2,0,281,2,2,0.12,0.10,0.85
1-2,0,282,1,1,0.22,0.53,0.27
1-2,0,283,2,2,0.11,0.11,0.84
1-2,0,284,2,2,0.12,0.11,0.85
1-2,0,285,2,2,0.20,0.18,0.72
1-2,0,286,1,1,0.20,0.56,0.27
1-2,0,287,2,2,0.11,0.25,0.55
1-2,0,288,2,2,0.19,0.18,0.75
1-2,0,289,2,2,0.13,0.12,0.86
1-2,0,290,0,2,0.33,0.31,0.52
1-2,0,291,2,2,0.12,0.21,0.58
1-2,0,292,0,2,0.21,0.23,0.50
1-2,0,293,0,2,0.42,0.28,0.46
1-2,0,294,2,2,0.27,0.14,0.70
1-2,0,295,2,2,0.19,0.09,0.83
1-2,0,296,2,2,0.18,0.09,0.84
1-2,0,297,2,2,0.24,0.14,0.73
1-2,0,298,0,2,0.24,0.20,0.47
1-2,0,299,1,1,0.27,0.50,0.25
1-2,0,300,2,2,0.25,0.15,0.70
1-2,0,301,2,2,0.24,0.14,0.72
1-2,0,302,2,2,0.13,0.08,0.87
1-2,0,303,2,2,0.14,0.19,0.58
1-2,0,304,2,2,0.22,0.13,0.77
1-2,0,305,2,2,0.13,0.17,0.63
1-2,0,306,2,2,0.21,0.12,0.80
1-2,0,307,0,2,0.38,0.24,0.55
1-2,0,308,2,2,0.12,0.07,0.88
1-2,0,309,1,2,0.14,0.20,0.56
1-2,0,310,2,2,0.14,0.18,0.59
1-2,0,311,2,2,0.22,0.13,0.77
1-2,0,312,2,2,0.21,0.13,0.78
1-2,0,313,2,2,0.11,0.08,0.90
1-2,0,314,2,2,0.20,0.13,0.79
1-2,0,315,2,2,0.10,0.08,0.89
1-2,0,316,0,2,0.21,0.19,0.52
1-2,0,317,1,2,0.13,0.21,0.54
1-2,0,318,1,1,0.24,0.53,0.25
1-2,0,319,2,2,0.21,0.16,0.72
1-2,0,320,2,2,0.20,0.15,0.74
1-2,0,321,2,2,0.12,0.20,0.59
1-2,0,322,1,1,0.21,0.55,0.28
1-2,0,323,1,1,0.20,0.59,0.26
1-2,0,324,0,2,0.20,0.28,0.43
1-2,0,325,2,2,0.11,0.11,0.85
1-2,0,326,2,2,0.15,0.11,0.84
1-2,0,327,2,2,0.12,0.22,0.57
1-2,0,328,1,2,0.12,0.28,0.50
1-2,0,329,2,2,0.12,0.24,0.56
1-2,0,330,1,1,0.21,0.62,0.25
1-2,0,331,1,1,0.20,0.65,0.23
1-2,0,332,2,2,0.13,0.14,0.84
1-2,0,333,0,2,0.20,0.32,0.40
1-2,0,334,0,2,0.24,0.30,0.37
1-2,0,335,1,2,0.14,0.33,0.40
1-2,0,336,2,2,0.17,0.14,0.79
1-2,0,337,1,2,0.14,0.37,0.37
1-2,0,338,1,1,0.24,0.72,0.15
1-2,0,339,1,1,0.23,0.74,0.15
1-2,0,340,0,1,0.41,0.47,0.30
1-2,0,341,0,1,0.28,0.37,0.26
1-2,0,342,2,2,0.27,0.23,0.58
1-2,0,343,0,1,0.31,0.33,0.28
1-2,0,344,2,2,0.22,0.13,0.77
1-2,0,345,2,2,0.28,0.20,0.62
1-2,0,346,0,0,0.33,0.29,0.30
1-2,0,347,2,2,0.30,0.18,0.64
1-2,0,348,2,2,0.21,0.11,0.81
1-2,0,349,2,2,0.20,0.11,0.81
1-2,0,350,1,1,0.29,0.63,0.18
1-2,0,351,1,1,0.27,0.66,0.17
1-2,0,352,2,2,0.15,0.26,0.49
1-2,0,353,2,2,0.15,0.24,0.53
1-2,0,354,2,2,0.12,0.10,0.87
1-2,0,355,2,2,0.23,0.17,0.74
1-2,0,356,1,2,0.13,0.32,0.46
1-2,0,357,2,2,0.12,0.11,0.87
1-2,0,358,2,2,0.15,0.12,0.85
1-2,0,359,2,2,0.10,0.11,0.87
1-2,0,360,1,1,0.23,0.67,0.21
1-2,0,361,1,2,0.12,0.38,0.42
1-2,0,362,2,2,0.19,0.24,0.69
1-2,0,363,0,2,0.25,0.34,0.35
1-2,0,364,0,0,0.46,0.38,0.36
1-2,0,365,2,2,0.13,0.11,0.84
1-2,0,366,2,2,0.13,0.11,0.85
1-2,0,367,1,1,0.15,0.37,0.36
1-2,0,368,0,1,0.32,0.34,0.28
1-2,0,369,2,2,0.27,0.21,0.64
1-2,0,370,0,0,0.52,0.36,0.33
1-2,0,371,0,0,0.39,0.29,0.28
1-2,0,372,2,2,0.17,0.10,0.82
1-2,0,373,2,2,0.24,0.10,0.80
1-2,0,374,1,1,0.33,0.65,0.15
1-2,0,375,2,2,0.15,0.10,0.82
1-2,0,376,2,2,0.21,0.11,0.81
1-2,0,377,0,0,0.38,0.28,0.28
1-2,0,378,1,1,0.34,0.66,0.14
1-2,0,379,2,2,0.22,0.11,0.80
1-2,0,380,2,2,0.28,0.18,0.66
1-2,0,381,2,2,0.20,0.10,0.83
1-2,0,382,2,2,0.13,0.10,0.85
1-2,0,383,2,2,0.25,0.17,0.70
1-2,0,384,2,2,0.12,0.09,0.86
1-2,0,385,2,2,0.12,0.09,0.86
1-2,0,386,2,2,0.23,0.16,0.73
1-2,0,387,0,0,0.50,0.30,0.39
1-2,0,388,1,1,0.28,0.63,0.17
1-2,0,389,2,2,0.13,0.09,0.87
1-2,0,390,2,2,0.16,0.22,0.53
1-2,0,391,2,2,0.23,0.15,0.75
1-2,0,392,2,2,0.11,0.08,0.89
1-2,0,393,2,2,0.16,0.09,0.87
1-2,0,394,0,2,0.33,0.24,0.38
1-2,0,395,0,0,0.38,0.23,0.34
1-2,0,396,2,2,0.14,0.08,0.87
1-2,0,397,1,2,0.19,0.30,0.38
1-2,0,398,2,2,0.15,0.09,0.87
1-2,0,399,2,2,0.27,0.15,0.71
1-2,0,400,1,1,0.29,0.65,0.17
1-2,0,401,2,2,0.13,0.09,0.87
1-2,0,402,2,2,0.16,0.22,0.53
1-2,0,403,0,0,0.53,0.30,0.38
1-2,0,404,1,2,0.17,0.33,0.38
1-2,0,405,2,2,0.19,0.10,0.84
1-2,0,406,1,1,0.28,0.68,0.16
1-2,0,407,1,1,0.26,0.70,0.15
1-2,0,408,2,2,0.22,0.19,0.70
1-2,0,409,0,0,0.35,0.30,0.30
1-2,0,410,0,0,0.40,0.29,0.28
1-2,0,411,2,2,0.21,0.10,0.83
1-2,0,412,1,1,0.31,0.68,0.14
1-2,0,413,2,2,0.26,0.18,0.69
1-2,0,414,1,1,0.27,0.70,0.15
1-2,0,415,1,1,0.26,0.71,0.15
1-2,0,416,2,2,0.12,0.10,0.87
1-2,0,417,2,2,0.16,0.11,0.84
1-2,0,418,1,1,0.14,0.41,0.33
1-2,0,419,0,0,0.51,0.40,0.30
1-2,0,420,2,2,0.12,0.11,0.84
1-2,0,421,2,2,0.16,0.27,0.47
1-2,0,422,2,2,0.11,0.10,0.87
1-2,0,423,0,0,0.54,0.35,0.33
1-2,0,424,1,1,0.17,0.39,0.32
1-2,0,425,2,2,0.12,0.11,0.85
1-2,0,426,2,2,0.18,0.11,0.83
1-2,0,427,2,2,0.12,0.10,0.87
1-2,0,428,2,2,0.23,0.19,0.70
1-2,0,429,2,2,0.15,0.25,0.52
1-2,0,430,1,1,0.25,0.71,0.17
1-2,0,431,1,1,0.14,0.42,0.36
1-2,0,432,0,0,0.52,0.39,0.32
1-2,0,433,2,2,0.23,0.19,0.70
1-2,0,434,2,2,0.15,0.25,0.53
1-2,0,435,2,2,0.15,0.23,0.58
1-2,0,436,2,2,0.21,0.16,0.78
1-2,0,437,2,2,0.11,0.08,0.91
1-2,0,438,1,1,0.23,0.70,0.20
1-2,0,439,1,1,0.13,0.41,0.40
1-2,0,440,0,0,0.35,0.33,0.31
1-2,0,441,1,1,0.25,0.74,0.15
1-2,0,442,1,1,0.24,0.75,0.15
1-2,0,443,2,2,0.11,0.11,0.89
1-2,0,444,2,2,0.11,0.11,0.89
1-2,0,445,0,0,0.37,0.33,0.29
1-2,0,446,1,1,0.26,0.75,0.14
1-2,0,447,1,1,0.25,0.76,0.14
1-2,0,448,2,2,0.21,0.21,0.71
1-2,0,449,2,2,0.10,0.11,0.88
1-2,0,450,1,1,0.23,0.76,0.15
1-2,0,451,2,2,0.15,0.11,0.86
1-2,0,452,0,0,0.51,0.38,0.32
1-2,0,453,2,2,0.10,0.10,0.87
1-2,0,454,2,2,0.21,0.18,0.72
1-2,0,455,2,2,0.14,0.24,0.56
1-2,0,456,1,1,0.23,0.73,0.16
1-2,0,457,2,2,0.19,0.17,0.77
1-2,0,458,2,2,0.09,0.09,0.90
1-2,0,459,2,2,0.18,0.16,0.78
1-2,0,460,1,1,0.20,0.73,0.18
1-2,0,461,1,1,0.20,0.74,0.17
1-2,0,462,1,1,0.11,0.45,0.37
1-2,0,463,2,2,0.08,0.11,0.89
1-2,0,464,2,2,0.16,0.20,0.76
1-2,0,465,2,2,0.16,0.19,0.77
1-2,0,466,1,1,0.18,0.77,0.16
1-2,0,467,2,2,0.08,0.10,0.91
1-2,0,468,1,1,0.17,0.78,0.16
1-2,0,469,1,1,0.10,0.50,0.35
1-2,0,470,2,2,0.14,0.23,0.75
1-2,0,471,2,2,0.07,0.12,0.90
1-2,0,472,2,2,0.07,0.12,0.90
1-2,0,473,1,1,0.16,0.80,0.15
1-2,0,474,2,2,0.10,0.12,0.88
1-2,0,475,2,2,0.13,0.21,0.77
1-2,0,476,2,2,0.07,0.11,0.90
1-2,0,477,2,2,0.07,0.11,0.90
1-2,0,478,2,2,0.10,0.11,0.89
1-2,0,479,2,2,0.06,0.11,0.91
1-2,0,480,1,1,0.09,0.51,0.36
1-2,0,481,2,2,0.06,0.12,0.90
1-2,0,482,0,1,0.27,0.38,0.29
1-2,0,483,2,2,0.11,0.28,0.56
1-2,0,484,2,2,0.11,0.10,0.89
1-2,0,485,2,2,0.15,0.18,0.79
1-2,0,486,2,2,0.07,0.10,0.91
1-2,0,487,2,2,0.07,0.09,0.91
1-2,0,488,2,2,0.08,0.09,0.92
1-2,0,489,1,1,0.09,0.49,0.37
1-2,0,490,2,2,0.07,0.11,0.91
1-2,0,491,1,1,0.09,0.54,0.33
1-2,0,492,2,2,0.14,0.22,0.77
1-2,0,493,2,2,0.10,0.30,0.58
1-2,0,494,0,1,0.29,0.35,0.32
1-2,0,495,0,0,0.34,0.33,0.30
1-2,0,496,2,2,0.10,0.09,0.91
1-2,0,497,0,0,0.53,0.34,0.34
1-2,0,498,2,2,0.16,0.08,0.88
1-2,0,499,2,2,0.11,0.08,0.90
1-2,0,500,1,1,0.23,0.76,0.14
1-2,0,501,1,1,0.13,0.49,0.29
1-2,0,502,2,2,0.15,0.10,0.87
1-2,0,503,0,0,0.40,0.33,0.25
1-2,0,504,2,2,0.10,0.09,0.89
1-2,0,505,0,0,0.59,0.34,0.30
1-2,0,506,2,2,0.11,0.08,0.88
1-2,0,507,2,2,0.18,0.08,0.86
1-2,0,508,1,1,0.16,0.49,0.26
1-2,0,509,2,2,0.22,0.18,0.71
1-2,0,510,1,1,0.25,0.78,0.12
1-2,0,511,2,2,0.20,0.18,0.73
1-2,0,512,1,1,0.23,0.79,0.12
1-2,0,513,2,2,0.10,0.09,0.90
1-2,0,514,2,2,0.13,0.25,0.54
1-2,0,515,2,2,0.13,0.23,0.59
1-2,0,516,1,1,0.21,0.77,0.15
1-2,0,517,1,1,0.20,0.78,0.15
1-2,0,518,2,2,0.09,0.09,0.92
1-2,0,519,2,2,0.12,0.23,0.62
1-2,0,520,0,0,0.38,0.29,0.32
1-2,0,521,1,1,0.22,0.76,0.15
1-2,0,522,1,1,0.21,0.78,0.14
1-2,0,523,1,1,0.20,0.79,0.14
1-2,0,524,2,2,0.08,0.09,0.91
1-2,0,525,1,1,0.19,0.79,0.14
1-2,0,526,2,2,0.12,0.24,0.61
1-2,0,527,2,2,0.13,0.09,0.91
1-2,0,528,2,2,0.13,0.09,0.91
1-2,0,529,2,2,0.11,0.22,0.66
1-2,0,530,2,2,0.08,0.08,0.93
1-2,0,531,2,2,0.15,0.16,0.83
1-2,0,532,2,2,0.07,0.08,0.93
1-2,0,533,1,1,0.10,0.49,0.37
1-2,0,534,0,0,0.50,0.35,0.37
1-2,0,535,2,2,0.17,0.16,0.80
1-2,0,536,1,1,0.19,0.78,0.15
1-2,0,537,0,0,0.53,0.33,0.35
1-2,0,538,2,2,0.18,0.15,0.78
1-2,0,539,2,2,0.09,0.07,0.92
1-2,0,540,2,2,0.17,0.15,0.80
1-2,0,541,2,2,0.08,0.07,0.92
1-2,0,542,2,2,0.13,0.07,0.91
1-2,0,543,0,0,0.40,0.27,0.30
1-2,0,544,2,2,0.10,0.06,0.92
1-2,0,545,0,0,0.59,0.28,0.34
1-2,0,546,2,2,0.21,0.13,0.78
1-2,0,547,2,2,0.15,0.17,0.64
1-2,0,548,1,1,0.23,0.73,0.15
1-2,0,549,2,2,0.15,0.06,0.91
1-2,0,550,2,2,0.09,0.06,0.92
1-2,0,551,0,0,0.59,0.27,0.35
1-2,0,552,2,2,0.10,0.06,0.92
1-2,0,553,2,2,0.20,0.12,0.80
1-2,0,554,2,2,0.10,0.06,0.93
1-2,0,555,2,2,0.14,0.16,0.66
1-2,0,556,1,1,0.13,0.43,0.34
1-2,0,557,0,0,0.46,0.26,0.27
1-2,0,558,1,1,0.25,0.75,0.13
1-2,0,559,2,2,0.16,0.07,0.90
1-2,0,560,0,0,0.49,0.26,0.26
1-2,0,561,2,2,0.17,0.17,0.63
1-2,0,562,2,2,0.12,0.06,0.93
1-2,0,563,2,2,0.10,0.06,0.92
1-2,0,564,2,2,0.11,0.06,0.93
1-2,0,565,0,0,0.52,0.23,0.27
1-2,0,566,0,0,0.69,0.25,0.31
1-2,0,567,1,1,0.30,0.73,0.12
1-2,0,568,2,2,0.25,0.12,0.77
1-2,0,569,2,2,0.17,0.15,0.64
1-2,0,570,1,1,0.26,0.73,0.13
1-2,0,571,1,1,0.15,0.45,0.30
1-2,0,572,0,0,0.52,0.27,0.24
1-2,0,573,1,1,0.27,0.77,0.11
1-2,0,574,2,2,0.11,0.07,0.91
1-2,0,575,2,2,0.11,0.07,0.91
1-2,0,576,2,2,0.12,0.06,0.92
1-2,0,577,0,0,0.67,0.29,0.28
1-2,0,578,1,1,0.27,0.77,0.11
1-2,0,579,1,1,0.16,0.51,0.25
1-2,0,580,1,1,0.25,0.81,0.10
